ID,Reference,Species,Synonym,Family,Growth_form,Life_span,Tissue,Seed_Cat,Leaf_strategy,Leaf_form,PS_type,Dr,Lr,Wr,Dl,Hs,Ws,DBH,Vr,Vs,Drel,Lrel,Y_Xshoot,Y_Xroot,S_Ry,S_Rx,Biome,Eco_Name,Realm,Eco_ID,Vegetation,Location,Lat,Long,Spatial_buffer,Elevation,Soil_description,USDA_soil_texture,EU_soil_texture,Water_Table_Depth_Fan,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,MAP,MAE,Ai,Sa,Msur,Mdef,Psur,Pdef,Rclass,Rregime,Aclass
1018,Higgins et al. 1987:Table 3,Protea repens,,Proteaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,3,1.96,NA,NA,NA,1.32,NA,24.14,NA,NA,NA,NA,0.77,NA,0.34,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1019,Higgins et al. 1987:Table 3,Tetraria bromoides,,Cyperaceae,Grass,P,Herbaceous,Monocot,,,C3,0.5,0.13,NA,NA,NA,0.36,NA,0.02,NA,NA,NA,NA,1.92,NA,1.38,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1020,Higgins et al. 1987:Table 3,Tetraria bromoides,,Cyperaceae,Grass,P,Herbaceous,Monocot,,,C3,1,0.13,NA,NA,NA,0.31,NA,0.04,NA,NA,NA,NA,3.85,NA,1.19,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1021,Higgins et al. 1987:Table 3,Tetraria bromoides,,Cyperaceae,Grass,P,Herbaceous,Monocot,,,C3,1,0.25,NA,NA,NA,0.31,NA,0.13,NA,NA,NA,NA,2,NA,0.62,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1022,Higgins et al. 1987:Table 3,Tetraria bromoides,,Cyperaceae,Grass,P,Herbaceous,Monocot,,,C3,1,0.31,NA,NA,NA,0.4,NA,0.2,NA,NA,NA,NA,1.61,NA,0.65,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1023,Higgins et al. 1987:5,Watsonia pyramidata,,Iridaceae,Forb,P,Herbaceous,Monocot,,,C3,0.39,0.64,NA,NA,1.29,1,NA,0.33,0.67544,0.577399328,0.947527103,1.29,0.3,3.31,0.78,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1024,Higgins et al. 1987:Table 3,Watsonia pyramidata,,Iridaceae,Forb,P,Herbaceous,Monocot,,,C3,0.4,0.89,NA,NA,NA,0.5,NA,0.66,NA,NA,NA,NA,0.22,NA,0.28,Mediterranean Forests; Woodlands & Scrub,Lowland fynbos and renosterveld,AT,31202,S,E of Cape Town; South Africa,-33.95,18.92,0,400,loamy medium sand,LoSa,C,NA,289.28,10.28,51.16,360.03,299.25,279.15,20.1,284.87,293.53,293.6,284.8667,0.131,0.024,58.35333,0.383,0.078,0.08,0.383,1.7,1.277,1.33,0.286,4,8,0.286,0.697,D,W,hu
1025,Hnatiuk & Hopkins 1980,Eremaea beaufortioides,,Myrtaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,6,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,Mediterranean Forests; Woodlands & Scrub,Southwest Australia savanna,AA,11209,S,S Western Australia,-29.88,115.27,161.559,NA,alluvial sand and low aeolian dunes,Sa,C,NA,293.21,12.45,49.02,475.47,305.35,279.95,25.4,287.73,298.75,299.43,287.7333,0.107,0.006,83.21623,0.28,0.029,0.034,0.28,0.55,1.596,0.34,0.09,2,10,0.09,1.177,D,W,sa
1026,Hopkins 1951,Amorpha canescens,,Fabaceae,Semi-shrub,P,Woody,Dicot,,,C3,4.11,0.76,NA,NA,NA,NA,NA,4.97,NA,NA,NA,NA,2.7,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1027,Hopkins 1951,Andropogon gerardi,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1028,Hopkins 1951,Aster multiflorus,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,2.13,0.9,NA,NA,NA,NA,NA,3.61,NA,NA,NA,NA,1.18,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1029,Hopkins 1951,Bouteloua curtipendula,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1030,Hopkins 1951,Bouteloua gracilis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1031,Hopkins 1951,Brickellia eupatorioides,Kuhnia glutinosa,Asteraceae,Semi-shrub,P,Woody,Dicot,,broad-leaf,C3,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1032,Hopkins 1951,Carex duriuscula,Carex eleocharis,Cyperaceae,Grass,P,Herbaceous,Monocot,,,C3,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1033,Hopkins 1951,Carex pensylvanica,,Cyperaceae,Grass,P,Herbaceous,Monocot,,,C3,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1034,Hopkins 1951,Gaura coccinea,,Onagraceae,Forb,P,Herbaceous,Dicot,,,C3,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1035,Hopkins 1951,Koeleria pyramidata,Koeleria cristata,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1036,Hopkins 1951,Lygodesmia juncea,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1037,Hopkins 1951,Machaeranthera pinnatifida,Sideranthus spinulosus,Asteraceae,Semi-shrub,P,Woody,Dicot,,,C3,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1038,Hopkins 1951,Pascopyrum smithii,Agropyron smithii,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,3.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1039,Hopkins 1951,Psoralidium tenuiflorum,Psoralea tenuiflora,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,4.11,0.5,NA,NA,NA,NA,NA,2.15,NA,NA,NA,NA,4.11,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1040,Hopkins 1951,Ratibida columnifera,Ratibida columnaris,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1041,Hopkins 1951,Solidago missouriensis var. fasciculata,Solidago glaberrima,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,3.35,0.6,NA,NA,NA,NA,NA,2.53,NA,NA,NA,NA,2.79,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1042,Hopkins 1951,Sphaeralcea coccinea,Malvastrum coccineum,Malvaceae,Semi-shrub,P,Woody,Dicot,,,C3,3.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1043,Hopkins 1951,Sporobolus cryptandrus,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Nebraska. USA,41.41,-99.68,51.121,NA,silt loam,SiLo,M,NA,282.62,14.3,33.18,1047.61,303.75,260.65,43.1,293.03,269.65,295.53,269.65,0.1,0.01,64.79717,0.273,0.033,0.251,0.033,0.635,1.107,0.57,0,0,12,0,0.534,D,S,sh
1044,Horton 1958,Pinus contorta,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boreal Forests/Taiga,North Central Rockies forests,NA.,50518,,near Banf; Canadian Rockies (avgd),51.01,-115.06,NA,1427.333,Loam medium texture (avgd),Lo,M,NA,274.85,12.48,36.93,789.12,291.55,257.75,33.8,282.32,265.35,284.58,265.35,0.091,0.027,43.69164,0.23,0.084,0.224,0.084,0.577,0.672,0.86,0.096,5,7,0.096,0.191,D,S,hu
1045,Hosegood 1963,Acacia mearnsii,Acacia mollissima,Fabaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,5.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Grasslands; Savannas & Shrublands,East African montane forests,AT,30108,T,Muguga Forest; Kenya,-1.21,36.64,NA,2103,red loam,Lo,M,NA,289.42,10.43,74,117.5,295.85,281.75,14.1,290.37,287.87,290.72,287.8,0.22,0.024,74.56102,0.48,0.079,0.367,0.092,0.967,1.428,0.68,0.177,3,9,0.177,0.63,D,TS,hu
1046,Hosegood 1963,Pennisetum clandestinum,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Grasslands; Savannas & Shrublands,East African montane forests,AT,30108,T,Tigoni; Kenya,-1.13,36.67,NA,2286,red loam,Lo,M,NA,288.78,10.08,71.51,131.97,295.25,281.15,14.1,289.53,287.15,290.17,286.85,0.297,0.032,78.32202,0.618,0.108,0.225,0.123,0.967,1.425,0.68,0.333,3,9,0.333,0.521,D,TS,hu
1047,Howard 1925:p. 318,Butea frondosa,,Fabaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Lower Gangetic Plains moist deciduous forests,IM,40120,T,Bihar. India,25.9886,85.6879,173.127,59,blue clay,Cl,F,NA,297.89,11.39,44.67,500.48,308.85,283.35,25.5,301.53,291.5,302.42,290.6,0.268,0.002,119.8856,0.712,0.023,0.462,0.024,0.635,1.571,0.4,0.332,3,9,0.332,0.884,D,TS,sa
1048,Howard 1925:p. 318,Butea frondosa,,Fabaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,5.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Lower Gangetic Plains moist deciduous forests,IM,40120,T,Bihar. India,25.9886,85.6879,173.127,59,calcareous silt loam; 75% sand-silt,SaLo,C,5.2,297.89,11.39,44.67,500.48,308.85,283.35,25.5,301.53,291.5,302.42,290.6,0.268,0.002,119.8856,0.712,0.023,0.462,0.024,0.635,1.571,0.4,0.332,3,9,0.332,0.884,D,TS,sa
1049,Howard 1925:p. 317,Dalbergia sissoo,,Fabaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,4.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Lower Gangetic Plains moist deciduous forests,IM,40120,T,Bihar. India,25.9886,85.6879,173.127,59,calcareous silt loam; 75% sand-silt,SaLo,C,5.2,297.89,11.39,44.67,500.48,308.85,283.35,25.5,301.53,291.5,302.42,290.6,0.268,0.002,119.8856,0.712,0.023,0.462,0.024,0.635,1.571,0.4,0.332,3,9,0.332,0.884,D,TS,sa
1050,Howard 1925:p. 318,Ficus benghalensis,,Moraceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Lower Gangetic Plains moist deciduous forests,IM,40120,T,Bihar. India,25.9851,85.6912,173.127,59,calcareous silt loam; 75% sand-silt,SaLo,C,5.2,297.89,11.39,44.67,500.48,308.85,283.35,25.5,301.53,291.5,302.42,290.6,0.268,0.002,119.8856,0.712,0.023,0.462,0.024,0.635,1.571,0.4,0.332,3,9,0.332,0.884,D,TS,sa
1051,Howard 1925:p. 318,Ficus religiosa,,Moraceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,5.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Lower Gangetic Plains moist deciduous forests,IM,40120,T,Pusa; N Bihar; India; on the Gangetic plain,25.9851,85.6912,173.127,59,calcareous silt loam; 75% sand-silt,SaLo,C,5.2,297.89,11.39,44.67,500.48,308.85,283.35,25.5,301.53,291.5,302.42,290.6,0.268,0.002,119.8856,0.712,0.023,0.462,0.024,0.635,1.571,0.4,0.332,3,9,0.332,0.884,D,TS,sa
1052,Howard 1925:p. 318,Melia azedarach,Melia azadirachta,Meliaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,3.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Lower Gangetic Plains moist deciduous forests,IM,40120,T,Bihar. India,25.9886,85.6879,173.127,59,calcareous silt loam; 75% sand-silt,SaLo,C,5.2,297.89,11.39,44.67,500.48,308.85,283.35,25.5,301.53,291.5,302.42,290.6,0.268,0.002,119.8856,0.712,0.023,0.462,0.024,0.635,1.571,0.4,0.332,3,9,0.332,0.884,D,TS,sa
1053,Howard 1925:p. 318,Millingtonia hortensis,,Bignoniaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,3.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Lower Gangetic Plains moist deciduous forests,IM,40120,T,Pusa; N Bihar; India; on the Gangetic plain,25.9886,85.6879,173.127,59,calcareous silt loam; 75% sand-silt,SaLo,C,NA,297.89,11.39,44.67,500.48,308.85,283.35,25.5,301.53,291.5,302.42,290.6,0.268,0.002,119.8856,0.712,0.023,0.462,0.024,0.635,1.571,0.4,0.332,3,9,0.332,0.884,D,TS,sa
1054,Howard 1925:p. 318,Millingtonia hortensis,,Bignoniaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,5.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Lower Gangetic Plains moist deciduous forests,IM,40120,T,Pusa; N Bihar; India; on the Gangetic plain,25.9886,85.6879,173.127,59,calcareous silt loam; 75% sand-silt,SaLo,C,5.2,297.89,11.39,44.67,500.48,308.85,283.35,25.5,301.53,291.5,302.42,290.6,0.268,0.002,119.8856,0.712,0.023,0.462,0.024,0.635,1.571,0.4,0.332,3,9,0.332,0.884,D,TS,sa
1055,Howard 1925:p. 317,Phyllanthus emblica,family:Euphorbiaceae,Phyllanthaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,5.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Lower Gangetic Plains moist deciduous forests,IM,40120,T,Bihar. India,25.9886,85.6879,173.127,59,calcareous silt loam; 75% sand-silt,SaLo,C,5.2,297.89,11.39,44.67,500.48,308.85,283.35,25.5,301.53,291.5,302.42,290.6,0.268,0.002,119.8856,0.712,0.023,0.462,0.024,0.635,1.571,0.4,0.332,3,9,0.332,0.884,D,TS,sa
1056,Howard 1925:p. 318,Tectonia grandis,,Lamiaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Lower Gangetic Plains moist deciduous forests,IM,40120,T,Bihar. India,25.9886,85.6879,173.127,59,calcareous silt loam; 75% sand-silt,SaLo,C,NA,297.89,11.39,44.67,500.48,308.85,283.35,25.5,301.53,291.5,302.42,290.6,0.268,0.002,119.8856,0.712,0.023,0.462,0.024,0.635,1.571,0.4,0.332,3,9,0.332,0.884,D,TS,sa
1057,Howard 1925:p. 318,Tectonia grandis,,Lamiaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,3.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Lower Gangetic Plains moist deciduous forests,IM,40120,T,Bihar. India,25.9886,85.6879,173.127,59,calcareous silt loam; 75% sand-silt,SaLo,C,5.2,297.89,11.39,44.67,500.48,308.85,283.35,25.5,301.53,291.5,302.42,290.6,0.268,0.002,119.8856,0.712,0.023,0.462,0.024,0.635,1.571,0.4,0.332,3,9,0.332,0.884,D,TS,sa
1058,Hulbert 1955,Bromus tectorum,,Poaceae,Grass,A,Herbaceous,Monocot,,,C3,1.6,0.3,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,2.67,NA,NA,Deserts & Xeric Shrublands,Palouse grasslands,NA.,50813,G,Lewiston; Nez Perce County; Idaho,46.4378,-117.0053,NA,350,loam over caliche,Lo,M,NA,285.05,12.11,34.89,809.91,301.15,266.45,34.7,284.47,294.93,295.23,275.3833,0.041,0.02,22.87237,0.111,0.062,0.072,0.099,0.355,1.094,0.32,0.056,4,8,0.056,0.784,C,E,sa
1059,Hull & Muller 1977,Avena fatua,,Poaceae,Grass,A,Herbaceous,Monocot,,,C3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mediterranean Forests; Woodlands & Scrub,California interior chaparral and woodlands,NA.,51202,G,Santa Ynez Valley of Santa Barbara Co.; California,34.58,-120.1,NA,NA,clay loam over clay,ClLo,F,NA,288.73,14,54.9,378.95,301.95,276.45,25.5,284.87,292.97,293.63,284.3333,0.096,0,98.28011,0.267,0.002,0.009,0.247,0.525,1.226,0.43,0.074,3,9,0.074,0.852,D,W,sa
1060,Hull & Muller 1977,Nassella pulchra,Stipa pulchra,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mediterranean Forests; Woodlands & Scrub,California interior chaparral and woodlands,NA.,51202,G,Santa Ynez Valley of Santa Barbara Co.; California,34.58,-120.1,NA,NA,clay loam over clay,ClLo,F,NA,288.73,14,54.9,378.95,301.95,276.45,25.5,284.87,292.97,293.63,284.3333,0.096,0,98.28011,0.267,0.002,0.009,0.247,0.525,1.226,0.43,0.074,3,9,0.074,0.852,D,W,sa
1061,Humphrey 1937:3,Isocoma tenuisecta,Isocoma fruticosa,Asteraceae,Semi-shrub,P,Woody,Dicot,,,C3,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Chihuahuan desert,NA.,51303,S,Santa Rita Experimental Range near Tucson; Arizona; USA,31.76,-110.85,306.565,950,Sandy loam,SaLo,C,NA,289.86,16.34,47.37,668.81,306.85,272.35,34.5,297.68,292.5,298.05,281.9667,0.123,0.005,75.77244,0.286,0.032,0.238,0.124,0.35,1.455,0.24,0,0,12,0,0.908,C,S,sa
